N,T
669,1057
670,1062
671,1107
672,1071
673,1070
674,1056
675,1051
676,1059
677,1063
678,1069
679,1058
680,1052
681,1188
682,1072
683,1082
684,1055
685,1066
686,1062
687,1068
688,1052
689,1065
690,1065
691,1066
692,1074
693,1065
694,1165
695,1088
696,1057
697,1066
698,1070
699,1117
700,1142
701,1070
702,1074
703,1061
704,1065
705,1061
706,1088
707,1067
708,1062
709,1065
710,1156
711,1092
712,1057
713,1064
714,1176
715,1087
716,1074
717,1065
718,1212
719,1165
720,1063
721,1076
722,1090
723,1074
724,1077
725,1063
726,1119
727,1061
728,1069
729,1152
730,1083
731,1073
732,1070
733,1082
734,1076
735,1064
736,1204
737,1072
738,1146
739,1157
740,1083
741,1100
742,1082
743,1092
744,1091
745,1088
746,1076
747,1081
748,1071
749,1061
750,1075
751,1070
752,1161
753,1065
754,1299
755,1076
756,1084
757,1151
758,1071
759,1074
760,1075
761,1084
762,1072
763,1100
764,1079
765,1168
766,1105
767,1330
768,1116
769,1073
770,1081
771,1079
772,1214
773,1169
774,1182
775,1079
776,1091
777,1072
778,1079
779,1124
780,1078
781,1082
782,1084
783,1079
784,1073
785,1081
786,1103
787,1094
788,1082
789,1092
790,1197
791,1088
792,1103
793,1082
794,1094
795,1156
796,1074
797,1108
798,1083
799,1082
800,1076
801,1081
802,1081
803,1071
804,1082
805,1080
806,1090
807,1080
808,1212
809,1084
810,1074
811,1089
812,1077
813,1082
814,1166
815,1088
816,1083
817,1080
818,1239
819,1106
820,1095
821,1075
822,1113
823,1091
824,1110
825,1326
826,1286
827,1170
828,1130
829,1122
830,1114
831,1075
832,1103
833,1141
834,1096
835,1089
836,1084
837,1108
838,1086
839,1091
840,1075
841,1084
842,1113
843,1211
844,1085
845,1109
846,1079
847,1089
848,1089
849,1071
850,1083
851,1187
852,1086
853,1085
854,1082
855,1084
856,1122
857,1104
858,1077
859,1314
860,1095
861,1239
862,1084
863,1078
864,1096
865,1094
866,1087
867,1079
868,1087
869,1099
870,1103
871,1079
872,1192
873,1165
874,1089
875,1092
876,1082
877,1092
878,1104
879,1251
880,1180
881,1078
882,1099
883,1089
884,1104
885,1083
886,1098
887,1156
888,1115
889,1090
890,1082
891,1097
892,1100
893,1095
894,1081
895,1094
896,1093
897,1227
898,1099
899,1102
900,1093
901,1095
902,1106
903,1083
904,1088
905,1099
906,1099
907,2002
908,1119
909,1295
910,1105
911,1092
912,1155
913,1303
914,1150
915,1103
916,1088
917,1094
918,1104
919,1102
920,1086
921,1097
922,1106
923,1093
924,1160
925,1101
926,1099
927,1105
928,1096
929,1088
930,1096
931,1313
932,1226
933,1167
934,1105
935,1284
936,1141
937,1099
938,1165
939,1210
940,1154
941,1108
942,1107
943,1101
944,1106
945,1112
946,1089
947,1096
948,1141
949,1294
950,1107
951,1122
952,1159
953,1146
954,1102
955,1089
956,1200
957,1112
958,1096
959,1098
960,1087
961,1108
962,1110
963,1105
964,1098
965,1156
966,1275
967,1185
968,1108
969,1112
970,1110
971,1119
972,1103
973,1118
974,1125
975,1122
976,1095
977,1191
978,1096
979,1100
980,1213
981,1092
982,1100
983,1097
984,1269
985,1196
986,1100
987,1110
988,1120
989,1199
990,1101
991,1156
992,1106
993,1176
994,1104
995,1098
996,1115
997,1130
998,1098
999,1100
